image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-4306-thumb.jpg"">",DINO 4306,Not yet available,Stegosaurus sp.,Ilr right illium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4307-thumb.jpg"">",DINO 4307,Not yet available,Stegosaurus sp.,Caudal vertebra 7,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4308-thumb.jpg"">",DINO 4308,Not yet available,Stegosaurus sp.,Left ulna ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4310-thumb.jpg"">",DINO 4310,Not yet available,Diplodocus sp.,Median distal caudal vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4311-thumb.jpg"">",DINO 4311,Not yet available,Diplodocus sp.,Left fibula,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4313-thumb.jpg"">",DINO 4313,Not yet available,Diplodocus sp.,First caudal vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4314-thumb.jpg"">",DINO 4314,Not yet available,Diplodocus sp.,Left fibula ,Juvenile,"Associated with DINO 4165, 4166",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4315-thumb.jpg"">",DINO 4315,Not yet available,Diplodocus sp.,Median distal caudal vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4316-thumb.jpg"">",DINO 4316,Not yet available,Apatosaurus sp.,Left scapula,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4328-thumb.jpg"">",DINO 4328,Not yet available,Diplodocus sp.,Right pubis distal half missing,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4333-thumb.jpg"">",DINO 4333,Not yet available,Allosaurus fragilis,Skull element lachrymal,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4338-thumb.jpg"">",DINO 4338,Not yet available,Diplodocus sp.,Manal claw of digit i ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4340a-thumb.jpg"">",DINO 4340a,Not yet available,Stegosaurus sp.,Right scapula and coracoid ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4340b-thumb.jpg"">",DINO 4340b,Not yet available,Stegosaurus sp.,Right scapula and coracoid ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4341-thumb.jpg"">",DINO 4341,Not yet available,Diplodocus sp.,Right scapula ,Adult,Associated with DINO 4342,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4342-thumb.jpg"">",DINO 4342,Not yet available,Diplodocus sp.,Right coracoid,Adult,Associated with DINO 4341,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4343-thumb.jpg"">",DINO 4343,Not yet available,"Sauropod, unidentified",Neural arch,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4344-thumb.jpg"">",DINO 4344,Not yet available,"Sauropod, unidentified",Left radius ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4345-thumb.jpg"">",DINO 4345,Not yet available,"Sauropod, unidentified",Left dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
